epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.398075423551245,1.4973596628532588,0.6649938799288597,0.6321013984103488,0.5438135432024889,0.0003
2,1.1883349177846507,1.0081211077966359,0.7653954170129725,0.7209502513712349,0.6864724423691733,0.0003
3,0.7838026208804485,0.879400927406718,0.7982092338267689,0.752129851203326,0.7307133916357794,0.0003
4,0.5638174107613692,0.8191589598070111,0.8323175603730082,0.7867968075119155,0.7664380307066673,0.0003
5,0.42058082365898336,0.9224096211830519,0.8370734014216875,0.7801436461038083,0.7621744174694709,0.0003
6,0.3381144036826503,0.8725619138546242,0.8438436246430577,0.7913376360564796,0.7790885880908779,0.0003
7,0.28623842761205986,0.9273766624513511,0.8429761375494254,0.7920131179893035,0.777082097198845,0.0003
8,0.23509394242160622,0.9023877837689512,0.8579013548789298,0.8094122311553777,0.797441285246671,0.0003
9,0.1847366976737976,0.9866257115072816,0.8317401317705221,0.8026300165699155,0.785077737119749,0.0003
10,0.17416572604599584,1.076928993386263,0.8435627758389117,0.7952792655318633,0.7830313026906048,0.0003
11,0.144512507422217,0.9925307047823787,0.8431601897949997,0.8051350108804797,0.7913453231655626,0.0003
12,0.11281115860317859,1.1299959237200787,0.8480633561646252,0.8077717533446013,0.7910371963694078,0.00015
13,0.079663623947065,1.1479365700169613,0.8599456971590582,0.814102843571234,0.8027190800646754,0.00015
14,0.06841944552701094,1.167570878389784,0.863102552012415,0.8180432317740698,0.805416102643554,0.00015
15,0.06053256293822979,1.1855920630460821,0.8600428010208644,0.8178772867656612,0.8048073230042152,0.00015
16,0.05858326502572531,1.3354801225098836,0.8512473539544422,0.8109688605517958,0.7963930689023976,0.00015
17,0.05243745814338041,1.3696184088327616,0.8571948953640357,0.8145905945298353,0.8018363249613394,0.00015
18,0.04648164947028361,1.3378429321503493,0.8423619478124427,0.8052642793561366,0.7887804578641341,7.5e-05
19,0.03986500810731873,1.3791132219965383,0.854573380914601,0.8129016420010681,0.8005286412845145,7.5e-05
20,0.03603190911798185,1.3846913473263804,0.8565029160015326,0.8132554028993887,0.7990693995510438,7.5e-05
21,0.033938372631867726,1.4537388072234092,0.8452663734520035,0.8058592928727041,0.7904878189591115,7.5e-05
