pair_id,environment_seed,depth_band_index,depth_band_m,low_raw_false_alarm_rate,high_raw_false_alarm_rate,delta_raw_false_alarm_rate,low_temporal_false_alarm_rate,high_temporal_false_alarm_rate,delta_temporal_false_alarm_rate
band0_rep0,940000,0,0-50,0.028985507246376812,0.043478260869565216,0.014492753623188404,0.0,0.0,0.0
band0_rep1,940001,0,0-50,0.0,0.0,0.0,0.0,0.0,0.0
band0_rep2,940002,0,0-50,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0
band0_rep3,940003,0,0-50,0.08695652173913043,0.08695652173913043,0.0,0.10144927536231885,0.043478260869565216,-0.05797101449275363
band1_rep0,950000,1,50-150,0.0,0.0,0.0,0.0,0.0,0.0
band1_rep1,950001,1,50-150,0.15942028985507245,0.15942028985507245,0.0,0.14492753623188406,0.14492753623188406,0.0
band1_rep2,950002,1,50-150,0.0,0.0,0.0,0.0,0.0,0.0
band1_rep3,950003,1,50-150,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep0,960000,2,150-300,0.18840579710144928,0.18840579710144928,0.0,0.18840579710144928,0.18840579710144928,0.0
band2_rep1,960001,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep2,960002,2,150-300,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0
band2_rep3,960003,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
