pair_id,environment_seed,depth_band_index,depth_band_m,high_margin_raw_false_alarm_rate,low_margin_raw_false_alarm_rate,delta_raw_false_alarm_rate,high_margin_temporal_false_alarm_rate,low_margin_temporal_false_alarm_rate,delta_temporal_false_alarm_rate
band0_rep0,950000,0,0-50,0.0,0.0,0.0,0.0,0.0,0.0
band0_rep1,950001,0,0-50,0.10144927536231885,0.08695652173913043,-0.014492753623188415,0.10144927536231885,0.07246376811594203,-0.028985507246376815
band0_rep2,950002,0,0-50,0.0,0.0,0.0,0.0,0.0,0.0
band0_rep3,950003,0,0-50,0.0,0.0,0.0,0.0,0.0,0.0
band1_rep0,960000,1,50-150,0.17391304347826086,0.30434782608695654,0.13043478260869568,0.15942028985507245,0.2898550724637681,0.13043478260869568
band1_rep1,960001,1,50-150,0.0,0.0,0.0,0.0,0.0,0.0
band1_rep2,960002,1,50-150,0.028985507246376812,0.028985507246376812,0.0,0.0,0.0,0.0
band1_rep3,960003,1,50-150,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep0,970000,2,150-300,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0
band2_rep1,970001,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep2,970002,2,150-300,0.2898550724637681,0.30434782608695654,0.014492753623188415,0.30434782608695654,0.3188405797101449,0.01449275362318836
band2_rep3,970003,2,150-300,0.08695652173913043,0.10144927536231885,0.014492753623188415,0.11594202898550725,0.11594202898550725,0.0
